,Datetime,Resolution code,Control area,Physical Flow Value
59,2021-12-01 09:00:00,PT15M,Germany,-511.74
60,2021-12-01 08:45:00,PT15M,Germany,-614.928
61,2021-12-01 08:30:00,PT15M,Germany,-624.604
62,2021-12-01 08:15:00,PT15M,Germany,-624.016
63,2021-12-01 08:00:00,PT15M,Germany,-596.836
64,2021-12-01 07:45:00,PT15M,Germany,-537.172
65,2021-12-01 07:30:00,PT15M,Germany,-538.3480000000001
66,2021-12-01 07:15:00,PT15M,Germany,-522.304
67,2021-12-01 07:00:00,PT15M,Germany,-534.096
68,2021-12-01 06:45:00,PT15M,Germany,-947.164
69,2021-12-01 06:30:00,PT15M,Germany,-999.3
70,2021-12-01 06:15:00,PT15M,Germany,-962.8839999999999
71,2021-12-01 06:00:00,PT15M,Germany,-976.4119999999999
72,2021-12-01 05:45:00,PT15M,Germany,-811.148
73,2021-12-01 05:30:00,PT15M,Germany,-724.0319999999999
74,2021-12-01 05:15:00,PT15M,Germany,-704.62
75,2021-12-01 05:00:00,PT15M,Germany,-695.62
76,2021-12-01 04:45:00,PT15M,Germany,-630.172
77,2021-12-01 04:30:00,PT15M,Germany,-621.3480000000001
78,2021-12-01 04:15:00,PT15M,Germany,-603.264
79,2021-12-01 04:00:00,PT15M,Germany,-508.51599999999996
80,2021-12-01 03:45:00,PT15M,Germany,-708.664
81,2021-12-01 03:30:00,PT15M,Germany,-708.232
82,2021-12-01 03:15:00,PT15M,Germany,-703.696
83,2021-12-01 03:00:00,PT15M,Germany,-728.2080000000001
84,2021-12-01 02:45:00,PT15M,Germany,-977.796
85,2021-12-01 02:30:00,PT15M,Germany,-1001.216
86,2021-12-01 02:15:00,PT15M,Germany,-990.36
87,2021-12-01 02:00:00,PT15M,Germany,-960.8760000000001
88,2021-12-01 01:45:00,PT15M,Germany,-574.2
89,2021-12-01 01:30:00,PT15M,Germany,-540.628
90,2021-12-01 01:15:00,PT15M,Germany,-536.7919999999999
91,2021-12-01 01:00:00,PT15M,Germany,-476.668
92,2021-12-01 00:45:00,PT15M,Germany,181.62400000000002
93,2021-12-01 00:30:00,PT15M,Germany,205.84
94,2021-12-01 00:15:00,PT15M,Germany,205.1
95,2021-12-01 00:00:00,PT15M,Germany,103.704
