Datetime;Resolution code;Elia Grid Load
2019-01-31T23:45:00+01:00;PT15M;10015.73
2019-01-31T23:30:00+01:00;PT15M;10135.58
2019-01-31T23:15:00+01:00;PT15M;10297.22
2019-01-31T23:00:00+01:00;PT15M;10400.89
2019-01-31T22:45:00+01:00;PT15M;10314.46
2019-01-31T22:30:00+01:00;PT15M;10464.46
2019-01-31T22:15:00+01:00;PT15M;10398.82
2019-01-31T22:00:00+01:00;PT15M;10270.78
2019-01-31T21:45:00+01:00;PT15M;10118.17
2019-01-31T21:30:00+01:00;PT15M;10184.18
2019-01-31T21:15:00+01:00;PT15M;10394.99
2019-01-31T21:00:00+01:00;PT15M;10568.38
2019-01-31T20:45:00+01:00;PT15M;10769.53
2019-01-31T20:30:00+01:00;PT15M;10866.46
2019-01-31T20:15:00+01:00;PT15M;11027.74
2019-01-31T20:00:00+01:00;PT15M;11170.2
2019-01-31T19:45:00+01:00;PT15M;11292.1
2019-01-31T19:30:00+01:00;PT15M;11369.11
2019-01-31T19:15:00+01:00;PT15M;11601.42
2019-01-31T19:00:00+01:00;PT15M;11762.89
2019-01-31T18:45:00+01:00;PT15M;11883.22
2019-01-31T18:30:00+01:00;PT15M;11928.39
2019-01-31T18:15:00+01:00;PT15M;11987.2
2019-01-31T18:00:00+01:00;PT15M;11982.46
2019-01-31T17:45:00+01:00;PT15M;12043.18
2019-01-31T17:30:00+01:00;PT15M;11694.38
2019-01-31T17:15:00+01:00;PT15M;11410.25
2019-01-31T17:00:00+01:00;PT15M;11376.88
2019-01-31T16:45:00+01:00;PT15M;11264.16
2019-01-31T16:30:00+01:00;PT15M;11255.6
2019-01-31T16:15:00+01:00;PT15M;11281.97
2019-01-31T16:00:00+01:00;PT15M;11292.92
2019-01-31T15:45:00+01:00;PT15M;11277.98
2019-01-31T15:30:00+01:00;PT15M;11242.97
2019-01-31T15:15:00+01:00;PT15M;11274.0
2019-01-31T15:00:00+01:00;PT15M;11299.71
2019-01-31T14:45:00+01:00;PT15M;11344.69
2019-01-31T14:30:00+01:00;PT15M;11358.5
2019-01-31T14:15:00+01:00;PT15M;11442.82
2019-01-31T14:00:00+01:00;PT15M;11474.75
2019-01-31T13:45:00+01:00;PT15M;11587.36
2019-01-31T13:30:00+01:00;PT15M;11586.1
2019-01-31T13:15:00+01:00;PT15M;11668.39
2019-01-31T13:00:00+01:00;PT15M;11725.58
2019-01-31T12:45:00+01:00;PT15M;11704.76
2019-01-31T12:30:00+01:00;PT15M;11716.61
2019-01-31T12:15:00+01:00;PT15M;11665.63
2019-01-31T12:00:00+01:00;PT15M;11826.92
2019-01-31T11:45:00+01:00;PT15M;11979.36
2019-01-31T11:30:00+01:00;PT15M;12080.09
