Datetime;Resolution code;Elia Grid Load
2019-01-15T23:45:00+01:00;PT15M;9100.73
2019-01-15T23:30:00+01:00;PT15M;9479.93
2019-01-15T23:15:00+01:00;PT15M;9645.24
2019-01-15T23:00:00+01:00;PT15M;9691.24
2019-01-15T22:45:00+01:00;PT15M;9717.09
2019-01-15T22:30:00+01:00;PT15M;9840.3
2019-01-15T22:15:00+01:00;PT15M;9822.17
2019-01-15T22:00:00+01:00;PT15M;9667.03
2019-01-15T21:45:00+01:00;PT15M;9531.32
2019-01-15T21:30:00+01:00;PT15M;9650.72
2019-01-15T21:15:00+01:00;PT15M;9719.07
2019-01-15T21:00:00+01:00;PT15M;9887.26
2019-01-15T20:45:00+01:00;PT15M;10029.85
2019-01-15T20:30:00+01:00;PT15M;10289.9
2019-01-15T20:15:00+01:00;PT15M;10447.67
2019-01-15T20:00:00+01:00;PT15M;10583.75
2019-01-15T19:45:00+01:00;PT15M;10635.73
2019-01-15T19:30:00+01:00;PT15M;10764.18
2019-01-15T19:15:00+01:00;PT15M;11018.9
2019-01-15T19:00:00+01:00;PT15M;11129.76
2019-01-15T18:45:00+01:00;PT15M;11255.94
2019-01-15T18:30:00+01:00;PT15M;11385.51
2019-01-15T18:15:00+01:00;PT15M;11343.56
2019-01-15T18:00:00+01:00;PT15M;11456.54
2019-01-15T17:45:00+01:00;PT15M;11514.17
2019-01-15T17:30:00+01:00;PT15M;11413.18
2019-01-15T17:15:00+01:00;PT15M;11238.53
2019-01-15T17:00:00+01:00;PT15M;10977.83
2019-01-15T16:45:00+01:00;PT15M;10833.38
2019-01-15T16:30:00+01:00;PT15M;10760.86
2019-01-15T16:15:00+01:00;PT15M;10727.35
2019-01-15T16:00:00+01:00;PT15M;10690.54
2019-01-15T15:45:00+01:00;PT15M;10643.24
2019-01-15T15:30:00+01:00;PT15M;10601.85
2019-01-15T15:15:00+01:00;PT15M;10595.1
2019-01-15T15:00:00+01:00;PT15M;10697.79
2019-01-15T14:45:00+01:00;PT15M;10658.28
2019-01-15T14:30:00+01:00;PT15M;10667.85
2019-01-15T14:15:00+01:00;PT15M;10647.97
2019-01-15T14:00:00+01:00;PT15M;10600.84
2019-01-15T13:45:00+01:00;PT15M;10617.89
2019-01-15T13:30:00+01:00;PT15M;10654.52
2019-01-15T13:15:00+01:00;PT15M;10677.41
2019-01-15T13:00:00+01:00;PT15M;10664.59
2019-01-15T12:45:00+01:00;PT15M;10527.31
2019-01-15T12:30:00+01:00;PT15M;10455.13
2019-01-15T12:15:00+01:00;PT15M;10350.94
2019-01-15T12:00:00+01:00;PT15M;10405.75
2019-01-15T11:45:00+01:00;PT15M;10593.21
2019-01-15T11:30:00+01:00;PT15M;10606.25
2019-01-15T11:15:00+01:00;PT15M;10549.16
2019-01-15T11:00:00+01:00;PT15M;10543.33
2019-01-15T10:45:00+01:00;PT15M;10601.16
2019-01-15T10:30:00+01:00;PT15M;10507.63
2019-01-15T10:15:00+01:00;PT15M;10548.3
2019-01-15T10:00:00+01:00;PT15M;10756.66
2019-01-15T09:45:00+01:00;PT15M;10861.32
2019-01-15T09:30:00+01:00;PT15M;10945.21
2019-01-15T09:15:00+01:00;PT15M;10985.56
2019-01-15T09:00:00+01:00;PT15M;10909.61
2019-01-15T08:45:00+01:00;PT15M;10947.49
2019-01-15T08:30:00+01:00;PT15M;11054.28
2019-01-15T08:15:00+01:00;PT15M;11140.98
2019-01-15T08:00:00+01:00;PT15M;11099.51
2019-01-15T07:45:00+01:00;PT15M;11073.5
2019-01-15T07:30:00+01:00;PT15M;10885.45
2019-01-15T07:15:00+01:00;PT15M;10667.17
2019-01-15T07:00:00+01:00;PT15M;10441.03
2019-01-15T06:45:00+01:00;PT15M;10294.88
2019-01-15T06:30:00+01:00;PT15M;10012.55
2019-01-15T06:15:00+01:00;PT15M;9686.14
2019-01-15T06:00:00+01:00;PT15M;9469.59
2019-01-15T05:45:00+01:00;PT15M;9025.28
2019-01-15T05:30:00+01:00;PT15M;8879.06
2019-01-15T05:15:00+01:00;PT15M;8679.95
2019-01-15T05:00:00+01:00;PT15M;8596.35
2019-01-15T04:45:00+01:00;PT15M;8518.37
2019-01-15T04:30:00+01:00;PT15M;8447.08
2019-01-15T04:15:00+01:00;PT15M;8375.98
2019-01-15T04:00:00+01:00;PT15M;8420.73
2019-01-15T03:45:00+01:00;PT15M;8374.34
2019-01-15T03:30:00+01:00;PT15M;8390.81
2019-01-15T03:15:00+01:00;PT15M;8509.66
2019-01-15T03:00:00+01:00;PT15M;8487.51
2019-01-15T02:45:00+01:00;PT15M;8517.7
2019-01-15T02:30:00+01:00;PT15M;8564.59
2019-01-15T02:15:00+01:00;PT15M;8588.68
2019-01-15T02:00:00+01:00;PT15M;8614.63
2019-01-15T01:45:00+01:00;PT15M;8826.22
2019-01-15T01:30:00+01:00;PT15M;8952.7
2019-01-15T01:15:00+01:00;PT15M;8904.24
2019-01-15T01:00:00+01:00;PT15M;9093.68
2019-01-15T00:45:00+01:00;PT15M;9201.16
2019-01-15T00:30:00+01:00;PT15M;9294.33
2019-01-15T00:15:00+01:00;PT15M;9632.65
2019-01-15T00:00:00+01:00;PT15M;9704.99
2019-01-14T23:45:00+01:00;PT15M;9816.44
2019-01-14T23:30:00+01:00;PT15M;10039.7
2019-01-14T23:15:00+01:00;PT15M;10125.65
2019-01-14T23:00:00+01:00;PT15M;10298.51
2019-01-14T22:45:00+01:00;PT15M;10220.5
2019-01-14T22:30:00+01:00;PT15M;10331.65
2019-01-14T22:15:00+01:00;PT15M;10306.6
2019-01-14T22:00:00+01:00;PT15M;10178.82
2019-01-14T21:45:00+01:00;PT15M;10003.44
2019-01-14T21:30:00+01:00;PT15M;10258.41
2019-01-14T21:15:00+01:00;PT15M;10333.44
2019-01-14T21:00:00+01:00;PT15M;10408.77
2019-01-14T20:45:00+01:00;PT15M;10559.69
2019-01-14T20:30:00+01:00;PT15M;10721.92
2019-01-14T20:15:00+01:00;PT15M;10894.78
2019-01-14T20:00:00+01:00;PT15M;10985.94
2019-01-14T19:45:00+01:00;PT15M;11045.33
2019-01-14T19:30:00+01:00;PT15M;11240.08
2019-01-14T19:15:00+01:00;PT15M;11345.58
2019-01-14T19:00:00+01:00;PT15M;11477.29
2019-01-14T18:45:00+01:00;PT15M;11613.58
2019-01-14T18:30:00+01:00;PT15M;11695.96
2019-01-14T18:15:00+01:00;PT15M;11788.58
2019-01-14T18:00:00+01:00;PT15M;11886.05
2019-01-14T17:45:00+01:00;PT15M;11966.21
2019-01-14T17:30:00+01:00;PT15M;11796.96
2019-01-14T17:15:00+01:00;PT15M;11472.62
2019-01-14T17:00:00+01:00;PT15M;11129.22
2019-01-14T16:45:00+01:00;PT15M;10967.92
2019-01-14T16:30:00+01:00;PT15M;10784.01
2019-01-14T16:15:00+01:00;PT15M;10704.71
2019-01-14T16:00:00+01:00;PT15M;10543.4
2019-01-14T15:45:00+01:00;PT15M;10365.29
2019-01-14T15:30:00+01:00;PT15M;10239.06
2019-01-14T15:15:00+01:00;PT15M;10148.48
2019-01-14T15:00:00+01:00;PT15M;10144.9
2019-01-14T14:45:00+01:00;PT15M;10033.41
2019-01-14T14:30:00+01:00;PT15M;9955.53
2019-01-14T14:15:00+01:00;PT15M;9948.77
2019-01-14T14:00:00+01:00;PT15M;9901.48
2019-01-14T13:45:00+01:00;PT15M;9916.58
2019-01-14T13:30:00+01:00;PT15M;9881.99
2019-01-14T13:15:00+01:00;PT15M;9865.02
2019-01-14T13:00:00+01:00;PT15M;9971.58
2019-01-14T12:45:00+01:00;PT15M;9954.48
2019-01-14T12:30:00+01:00;PT15M;9938.18
2019-01-14T12:15:00+01:00;PT15M;9990.55
2019-01-14T12:00:00+01:00;PT15M;10132.98
2019-01-14T11:45:00+01:00;PT15M;10303.18
2019-01-14T11:30:00+01:00;PT15M;10433.09
2019-01-14T11:15:00+01:00;PT15M;10485.22
2019-01-14T11:00:00+01:00;PT15M;10618.93
2019-01-14T10:45:00+01:00;PT15M;10676.67
2019-01-14T10:30:00+01:00;PT15M;10737.67
