DateTime;Resolution code;Total Load
2019-01-31T23:45:00+01:00;PT15M;11292.3
2019-01-31T23:30:00+01:00;PT15M;11382.79
2019-01-31T23:15:00+01:00;PT15M;11520.47
2019-01-31T23:00:00+01:00;PT15M;11633.02
2019-01-31T22:45:00+01:00;PT15M;11546.67
2019-01-31T22:30:00+01:00;PT15M;11704.41
2019-01-31T22:15:00+01:00;PT15M;11650.85
2019-01-31T22:00:00+01:00;PT15M;11537.25
2019-01-31T21:45:00+01:00;PT15M;11360.43
2019-01-31T21:30:00+01:00;PT15M;11428.65
2019-01-31T21:15:00+01:00;PT15M;11650.96
2019-01-31T21:00:00+01:00;PT15M;11742.72
2019-01-31T20:45:00+01:00;PT15M;11998.9
2019-01-31T20:30:00+01:00;PT15M;12210.23
2019-01-31T20:15:00+01:00;PT15M;12312.55
2019-01-31T20:00:00+01:00;PT15M;12461.51
2019-01-31T19:45:00+01:00;PT15M;12586.57
2019-01-31T19:30:00+01:00;PT15M;12640.85
2019-01-31T19:15:00+01:00;PT15M;12914.44
2019-01-31T19:00:00+01:00;PT15M;13114.24
2019-01-31T18:45:00+01:00;PT15M;13115.39
2019-01-31T18:30:00+01:00;PT15M;13124.82
2019-01-31T18:15:00+01:00;PT15M;13270.24
2019-01-31T18:00:00+01:00;PT15M;13135.37
2019-01-31T17:45:00+01:00;PT15M;13150.0
2019-01-31T17:30:00+01:00;PT15M;12811.91
2019-01-31T17:15:00+01:00;PT15M;12504.31
2019-01-31T17:00:00+01:00;PT15M;12449.96
2019-01-31T16:45:00+01:00;PT15M;12424.58
2019-01-31T16:30:00+01:00;PT15M;12452.14
2019-01-31T16:15:00+01:00;PT15M;12434.73
2019-01-31T16:00:00+01:00;PT15M;12459.68
2019-01-31T15:45:00+01:00;PT15M;12485.59
2019-01-31T15:30:00+01:00;PT15M;12468.83
2019-01-31T15:15:00+01:00;PT15M;12512.4
2019-01-31T15:00:00+01:00;PT15M;12567.04
2019-01-31T14:45:00+01:00;PT15M;12588.26
2019-01-31T14:30:00+01:00;PT15M;12599.51
2019-01-31T14:15:00+01:00;PT15M;12702.35
2019-01-31T14:00:00+01:00;PT15M;12740.14
2019-01-31T13:45:00+01:00;PT15M;12913.15
2019-01-31T13:30:00+01:00;PT15M;12909.35
2019-01-31T13:15:00+01:00;PT15M;12979.31
2019-01-31T13:00:00+01:00;PT15M;13025.26
2019-01-31T12:45:00+01:00;PT15M;12950.26
2019-01-31T12:30:00+01:00;PT15M;12950.87
2019-01-31T12:15:00+01:00;PT15M;12913.71
2019-01-31T12:00:00+01:00;PT15M;13052.16
2019-01-31T11:45:00+01:00;PT15M;13194.88
2019-01-31T11:30:00+01:00;PT15M;13270.04
2019-01-31T11:15:00+01:00;PT15M;13310.42
2019-01-31T11:00:00+01:00;PT15M;13246.63
2019-01-31T10:45:00+01:00;PT15M;13218.49
2019-01-31T10:30:00+01:00;PT15M;13172.86
2019-01-31T10:15:00+01:00;PT15M;13137.44
2019-01-31T10:00:00+01:00;PT15M;13156.32
2019-01-31T09:45:00+01:00;PT15M;13263.64
2019-01-31T09:30:00+01:00;PT15M;13274.09
2019-01-31T09:15:00+01:00;PT15M;13272.92
2019-01-31T09:00:00+01:00;PT15M;13166.89
